Year,Country,Name,Role
2006,Argentina,Rogelio Faustino Garcia Llano,Leader
2006,Argentina,Pablo Enrique Coll,Deputy leader
2006,Argentina,Maria Mercedes Andreau De Garcia Llano,Guest
2006,Armenia,Armen Andreasyan,Leader
2006,Australia,Benjamin Burton,Leader
2006,Australia,Bernard Blackham,Deputy leader
2006,Australia,Peter Taylor,Invited guest
2006,Austria,Helmut Achleitner,Leader
2006,Austria,Johann Fellner,Deputy leader
2006,Azerbaijan,Ramin Mahmudzade,Leader
2006,Azerbaijan,Maksud Ibrahimov,Deputy leader
2006,Bangladesh,Ali Mohammed Masud,Leader
2006,Bangladesh,Abdullah Al Mahmud,Deputy leader
2006,Bangladesh,Mohammad Kaykobad,Guest
2006,Bangladesh,Mohammed Anwer,Observer
2006,Bangladesh,Muhammed Zafar Iqbal,Observer
2006,Belarus,Irina Kirinovich,Leader
2006,Belarus,Michael Dolinski,Deputy leader
2006,Bosnia and Herzegovina,Leo Hatvani,Leader
2006,Bosnia and Herzegovina,Željko  Jurić,Deputy leader
2006,Brazil,Raphael Menderico,Leader
2006,Brazil,Pedro Demasi,Deputy leader
2006,Brazil,Ricardo Anido,IC member
2006,Bulgaria,Stoyan Kapralov,Leader
2006,Bulgaria,Emil Kelevedjiev,Deputy leader
2006,Bulgaria,Krassimir Manev,IC member
2006,Bulgaria,Asen Rahnev,Observer
2006,Bulgaria,Dimitar Mekerov,Observer
2006,Bulgaria,Gergana Toncheva,Observer
2006,Bulgaria,Kircho Atanasov,Observer
2006,Bulgaria,Olga Rahneva,Observer
2006,Bulgaria,Silvia Kancheva,Observer
2006,Bulgaria,Velin Tzanov,Observer
2006,Canada,Troy Vasiga,Leader
2006,Canada,Graeme David Kemkes,Deputy leader
2006,Canada,Gordon Cormack,ISC member
2006,Canada,Ian Munro,Guest
2006,Chile,Alexander Tchobanov Velkov ,Leader
2006,Chile,John Mauro Pereira Martinez,Deputy leader
2006,China,Hong Wang,Leader
2006,China,Baolin Yin,Deputy leader
2006,China,Zide Du,President
2006,China,Meng Xing,Observer
2006,China,Zheng Zengyi,Observer
2006,China,Zhou Liming,Observer
2006,Colombia,Mario Cruz,Leader
2006,Colombia,Edwin Niño,Deputy leader
2006,Croatia,Krešimir Malnar,Leader
2006,Croatia,Luka Kalinovčić,Deputy leader
2006,Croatia,Ivo Šeparović,IC member
2006,Croatia,Alen Spiegl,ISC member
2006,Croatia,Ane Skevin Mikulandra,Guest
2006,Croatia,Anina Ostric,Guest
2006,Croatia,Borut Pavlic,Guest
2006,Croatia,Dragan Schwarz,Guest
2006,Croatia,Dubravka Schwarz,Guest
2006,Croatia,Fiora Stanic,Guest
2006,Croatia,Fran Stanic,Guest
2006,Croatia,Jadranko Ahel,Guest
2006,Croatia,Nada Ahel,Guest
2006,Croatia,Neala Schonwald,Guest
2006,Croatia,Nikica Mikulandra,Guest
2006,Croatia,Pavle Kalinic,Guest
2006,Croatia,Sara Stanic,Guest
2006,Croatia,Zvonimir Stanic,Guest
2006,Croatia,Davor Bonaci,Observer
2006,Croatia,Lovro Pužar,Observer
2006,Croatia,Predrag Brođanac,Observer
2006,Croatia,Vlasta Separovic,Observer
2006,Cuba,Leonardo Cardona Luque,Leader
2006,Cyprus,Antonis Theodosiu,Leader
2006,Cyprus,Marios Miltiadous,Deputy leader
2006,Czech Republic,Martin Mareš,Leader
2006,Czech Republic,Pavel Töpfer,Deputy leader
2006,Denmark,Jørgen E. G. Nielsen,Leader
2006,Denmark,Knud Fjeldsted,Deputy leader
2006,Denmark,Dora Dimitrova,Guest
2006,Denmark,Ellen Krogh,Guest
2006,Egypt,Ossama Mohamed Ismail,Leader
2006,Egypt,Mohamed Taha,Deputy leader
2006,Egypt,Mohamed Youssef,IC member
2006,Egypt,Yasser M. Abdel Ghany,IC member
2006,Estonia,Ahto Truu,Leader
2006,Estonia,Heno Ivanov,Deputy leader
2006,Estonia,Indrek Jentson,Guest
2006,Estonia,Madli Jentson,Guest
2006,Estonia,Mare Jentson,Guest
2006,Finland,Samuli Laine,Leader
2006,Finland,Niko Kiirala,Deputy leader
2006,Finland,Jari Koivisto,Executive Director
2006,Finland,Jyrki Nummenmaa,ISC member
2006,France,Mathias Hiron,Leader
2006,France,Arthur Chaguéraud,Deputy leader
2006,Georgia,George Mandaria,Leader
2006,Georgia,Zaza Gamezardashvili,Deputy leader
2006,Germany,Dominic Battre,Leader
2006,Germany,Julian Rüth,Deputy leader
2006,Germany,Wolfgang Pohl,IC member
2006,Greece,Michael Chatzopoulos,Leader
2006,Greece,Christos Kilias,Deputy leader
2006,Greece,Spyros Bakogiannis,IC member
2006,"Hong Kong, China",Man-Wai David Wu,Leader
2006,"Hong Kong, China",Hoi Hung Ma,Deputy leader
2006,Hungary,Gyula Horváth,Leader
2006,Hungary,László Zsakó,Deputy leader
2006,India,Madhavan Mukund,Leader
2006,India,Narayan Kumar Krishnan,Deputy leader
2006,Indonesia,Suryana Setiawan,Leader
2006,Indonesia,Inggriani Liem,Deputy leader
2006,Iran,Ghassem Jaberipur,Leader
2006,Iran,Hamid Mahini,Deputy leader
2006,Iran,Amin Sayedi,Observer
2006,Ireland,Charlie Michael Daly,Leader
2006,Ireland,Ciarán O'Conaire,Deputy leader
2006,Ireland,Michael Anthony Cotter,Guest
2006,Israel,David Ginat,Leader
