Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Kangyang Zhou,China,100,100.00,100,100,100,100.0,600.00,100.00,Gold
2,Adam Gąsienica-Samek,Poland,100,91.22,100,3,100,82.0,476.22,79.37,Gold
3,Brian Xue,United States of America,100,83.31,59,29,100,100.0,471.31,78.55,Gold
4,Daniel Weber,Israel,100,95.50,59,3,100,82.0,439.50,73.25,Gold
4,Agastya Goel,United States of America,100,43.97,31,100,100,64.0,438.97,73.16,Gold
5,Rain Jiang,United States of America,100,31.40,100,3,100,100.0,434.40,72.40,Gold
6,Mihai-Valeriu Voicu,Romania,100,72.85,41,13,100,100.0,426.85,71.14,Gold
7,Bálint Rózsa,Canada,100,79.64,59,3,100,82.0,423.64,70.61,Gold
8,Yuchong Guo,China,100,87.17,100,50,50,32.0,419.17,69.86,Gold
9,Eliška Macáková,Slovakia,100,43.97,59,34,100,82.0,418.97,69.83,Gold
10,Daria Grekova,No country,100,63.88,59,13,100,82.0,417.88,69.65,Gold
11,Ivan Piskarev,No country,100,87.17,41,17,100,71.5,416.67,69.44,Gold
12,Ryan Bai,Canada,100,87.17,59,3,100,64.0,413.17,68.86,Gold
13,Shogo Amacho,Japan,100,66.72,59,3,100,82.0,410.72,68.45,Gold
14,István Ádám Molnár,Hungary,100,87.17,59,3,100,53.5,402.67,67.11,Gold
15,Katsuki Ota,Japan,100,87.17,48,3,100,64.0,402.17,67.03,Gold
16,Alejandro Vivero Puga,Spain,100,76.16,59,3,100,64.0,402.16,67.03,Gold
17,Amirali Asgari,Iran,100,39.12,59,3,100,100.0,401.12,66.85,Gold
17,Elazar Koren,Israel,100,63.88,48,3,100,82.0,396.88,66.15,Gold
17,Samuel Trajtenberg,United Kingdom,100,51.70,59,3,100,82.0,395.70,65.95,Gold
18,Duru Ozer,Türkiye,100,56.20,41,29,100,64.0,390.20,65.03,Gold
19,Rafał Mańczyk,Poland,100,49.84,23,17,100,100.0,389.84,64.97,Gold
20,Gimran Abdullin,No country,100,72.85,59,3,78,64.0,376.85,62.81,Gold
21,Kshitij Sodani,India,100,83.31,48,3,78,64.0,376.31,62.72,Gold
22,Chun Wong,"Hong Kong, China",100,66.72,59,3,100,47.5,376.22,62.70,Gold
23,Minh Pham Cong,Vietnam,100,51.70,59,18,100,47.5,376.20,62.70,Gold
24,Bach Hoang Xuan,Vietnam,100,33.72,59,18,100,64.0,374.72,62.45,Gold
25,Debojoti Das Soumya,Bangladesh,100,47.63,41,3,100,82.0,373.63,62.27,Gold
26,Miles Conway,No country,100,87.17,59,3,59,64.0,372.17,62.03,Gold
27,Alon Tanay,Israel,100,63.88,41,3,100,64.0,371.88,61.98,Gold
27,Petr Losev,No country,100,66.72,59,3,100,43.0,371.72,61.95,Gold
28,Ansis Gustavs Andersons,Latvia,100,79.64,10,13,100,64.0,366.64,61.11,Gold
29,Eunseong Kim,Republic of Korea,100,58.64,59,3,78,64.0,362.64,60.44,Gold
30,David S. Eikeland,Norway,100,69.71,23,3,100,64.0,359.71,59.95,Gold
31,Yuya Hirasawa,Japan,100,49.61,41,3,100,65.5,359.11,59.85,Silver
32,Kajetan Ramsza,Poland,100,43.97,48,3,100,64.0,358.97,59.83,Silver
33,Mingyu Woo,Republic of Korea,100,31.40,59,3,100,64.0,357.40,59.57,Silver
34,Jan Gwiazda,Poland,100,61.19,28,3,100,64.0,356.19,59.37,Silver
35,Andy Wu,No country,100,63.88,23,3,100,64.0,353.88,58.98,Silver
36,Daniel Koynov,Bulgaria,100,49.61,59,3,78,64.0,353.61,58.94,Silver
36,Po-Kai Chen,Taiwan,82,49.61,59,3,78,82.0,353.61,58.94,Silver
38,Damjan Davkov,North Macedonia,100,83.31,17,3,100,47.5,350.81,58.47,Silver
39,Jonni Haapiainen,Finland,100,51.70,41,3,100,53.5,349.20,58.20,Silver
40,Rohin Garg,United States of America,100,51.70,23,17,100,57.0,348.70,58.12,Silver
41,Heewoo Jung,Republic of Korea,100,53.89,59,3,100,31.0,346.89,57.81,Silver
42,Hanks Chong,United Kingdom,82,69.71,28,3,100,64.0,346.71,57.78,Silver
43,Yaw Chur Zhe,Singapore,100,47.63,59,3,100,37.0,346.63,57.77,Silver
44,Isaac Kai Sheng Hew,Malaysia,100,49.61,28,3,100,64.0,344.61,57.44,Silver
