Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Benjamin Qi,United States of America,100,100,100,90.09,100,57, , ,547.09,91.18,Gold
2,Ildar Gainullin,Russia,100,64,100,90.22,100,57, , ,511.22,85.20,Gold
3,Zixiang Zhou,Canada,100,40,100,97.33,100,57, , ,494.33,82.39,Gold
4,Ziqian Zhong,China,100,64,100,70.46,100,57, , ,491.46,81.91,Gold
5,Junzhao Yang,China,100,40,100,85.39,100,57, , ,482.39,80.40,Gold
6,Po-Hsuan Su,Taiwan,100,40,100,71.14,66,100, , ,477.14,79.52,Gold
7,Eric Zhang,United States of America,100,40,100,83.87,100,43, , ,466.87,77.81,Gold
8,Mahdi Jafari Raviz,Iran,100,40,72,86.11,66,100, , ,464.11,77.35,Gold
9,Angus Ritossa,Australia,100,40,72,90.26,100,57, , ,459.26,76.54,Gold
10,Arthur Léonard,France,100,40,72,97.65,100,43, , ,452.65,75.44,Gold
11,Shih-Yu Wang,Taiwan,100,40,72,76.43,100,57, , ,445.43,74.24,Gold
12,Eu-Shaun Leong,Singapore,100,40,100,81.35,66,57, , ,444.35,74.06,Gold
13,Daniel Zhang,United States of America,100,40,100,77.75,100,24, , ,441.75,73.62,Gold
14,Nazarii Denha,Ukraine,85,40,72,85.20,100,57, , ,439.20,73.20,Gold
15,Nikoloz Birkadze,Georgia,100,40,100,85.75,100,10, , ,435.75,72.62,Gold
16,Abdul Malik Nurrokhman,Indonesia,100,40,100,72.43,66,57, , ,435.43,72.57,Gold
17,Vladimir Romanov,Russia,100,40,100,72.35,66,57, , ,435.35,72.56,Gold
18,Sebin Kim,Republic of Korea,100,40,100,72.30,66,57, , ,435.30,72.55,Gold
19,Phuc Trinh Huu Gia,Vietnam,100,100,72,37.48,100,24, , ,433.48,72.25,Gold
20,Jiaxuan Gao,China,100,40,100,83.11,100,10, , ,433.11,72.19,Gold
21,Radoslav Dimitrov,Bulgaria,100,40,100,65.75,66,57, , ,428.75,71.46,Gold
22,Gyojun Youn,Republic of Korea,100,40,72,90.97,66,57, , ,425.97,71.00,Gold
23,Batyr Sardarbekov,Kazakhstan,100,40,72,53.81,100,57, , ,422.81,70.47,Gold
24,Duc Bui Hong,Vietnam,100,40,72,52.66,100,57, , ,421.66,70.28,Gold
25,Masataka Yoneda,Japan,100,40,72,51.89,100,57, , ,420.89,70.15,Gold
26,Egor Lifar,Russia,85,40,100,85.30,52,57, , ,419.30,69.88,Gold
27,Balázs Tóth,Hungary,100,40,50,89.26,100,39, , ,418.26,69.71,Gold
28,Aleksandr Morozov,Russia,100,40,100,50.75,100,24, , ,414.75,69.12,Gold
29,Koichi Namekata,Japan,100,40,72,90.46,52,57, , ,411.46,68.58,Silver
30,Arshia Soltani Moakhar,Iran,100,40,100,65.52,66,39, , ,410.52,68.42,Silver
31,Etienne Rossignol,France,100,100,50,69.24,66,24, , ,409.24,68.21,Silver
32,Noam Gutterman,Israel,100,40,100,36.91,100,24, , ,400.91,66.82,Silver
33,Jiří Kalvoda,Czech Republic,100,40,38,65.70,100,57, , ,400.70,66.78,Silver
34,Patrick Pavić,Croatia,100,40,100,68.97,66,25, , ,399.97,66.66,Silver
35,Carlos Miguel Soto,Argentina,100,40,72,63.75,100,24, , ,399.75,66.62,Silver
36,Seyyed Mehrshad Mirmohammadi,Iran,100,40,100,98.50,59,0, , ,397.50,66.25,Silver
37,Yujin Im,Republic of Korea,100,40,72,61.41,66,57, , ,396.41,66.07,Silver
38,Harris Leung,"Hong Kong, China",100,40,100,39.84,81,33, , ,393.84,65.64,Silver
39,Gediminas Lelešius,Lithuania,100,100,50,33.81,66,43, , ,392.81,65.47,Silver
40,Sofiia Melnyk,Ukraine,100,40,72,54.60,66,57, , ,389.60,64.93,Silver
41,Almog Wald,Israel,100,100,50,36.07,100,0, , ,386.07,64.34,Silver
42,Michal Staník,Slovakia,100,40,50,70.63,66,57, , ,383.63,63.94,Silver
43,Yasutaka Hiraki,Japan,100,40,72,45.89,100,24, , ,381.89,63.65,Silver
44,Tautvydas Jasiūnas,Lithuania,100,40,50,63.68,100,24, , ,377.68,62.95,Silver
45,Theodor Pierre Moroianu,Romania,100,40,50,86.15,100,0, , ,376.15,62.69,Silver
46,Man Tsung Yeung,"Hong Kong, China",100,40,72,88.11,66,10, , ,376.11,62.69,Silver
47,Aleksandar Krastev,Bulgaria,100,11,59,79.96,100,24, , ,373.96,62.33,Silver
48,Yaraslau Barysau,Belarus,85,40,100,58.59,66,24, , ,373.59,62.27,Silver
49,Xiuhan Wang,China,100,40,72,69.59,52,39, , ,372.59,62.10,Silver
50,Fredrik Ekholm,Sweden,100,7,72,68.72,100,24, , ,371.72,61.95,Silver
51,Victor Rong,Canada,100,40,72,68.32,66,24, , ,370.32,61.72,Silver
52,Sora Todaka,Japan,100,40,50,53.33,100,24, , ,367.33,61.22,Silver
53,Martin Melicher,Slovakia,100,40,72,62.99,81,10, , ,365.99,61.00,Silver
54,Martin Kopchev,Bulgaria,100,40,72,62.33,66,24, , ,364.33,60.72,Silver
55,Hugo Peyraud-Magnin,France,85,40,50,82.69,66,39, , ,362.69,60.45,Silver
56,William Lin,United States of America,100,29,0,74.20,100,57, , ,360.20,60.03,Silver
57,Krešimir Nežmah,Croatia,100,40,31,63.95,100,24, , ,358.95,59.83,Silver
58,Tadija Šebez,Serbia,100,40,72,70.62,52,24, , ,358.62,59.77,Silver
59,Andriy Kuts,Ukraine,100,40,72,56.11,66,24, , ,358.11,59.69,Silver
60,Kevin Pucci,Portugal,100,40,72,56.02,66,24, , ,358.02,59.67,Silver
61,Khaleel Al-Adhami,Jordan,100,40,72,76.82,66,0, , ,354.82,59.14,Silver
62,Sanchayapol Lewgasamsarn,Thailand,85,40,50,53.78,100,24, , ,352.78,58.80,Silver
63,Kien Vu Hoang,Vietnam,100,40,72,49.77,66,24, , ,351.77,58.63,Silver
64,Daniyar Zakarin,Kazakhstan,100,40,50,37.24,100,24, , ,351.24,58.54,Silver
65,Ekrem Bal,Türkiye,100,40,50,70.06,66,24, , ,350.06,58.34,Silver
66,Jeffrey Chun Hean Lee,Singapore,100,40,28,54.25,100,24, , ,346.25,57.71,Silver
