Rank,Name,Country,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Score,Rel_score(%),Award
1,Hwan-Seung Yeo,Republic of Korea,100,50,49.4,60.0,100,96, , ,455.4,75.90,Gold
2,Ivaylo Riskov,Bulgaria,100,85,49.4,85.5,8,100, , ,427.9,71.32,Gold
3,Thomas Wuerthinger,Austria,100,75,49.4,85.5,80,36, , ,425.9,70.98,Gold
4,Huy Nguyen Le,Vietnam,100,30,48.8,85.5,60,100, , ,424.3,70.72,Gold
5,Marius Victor Costan,Romania,100,100,12.0,90.0,90,32, , ,424.0,70.67,Gold
6,Alex Schwendner,United States of America,100,100,49.4,95.0,70,8, , ,422.4,70.40,Gold
7,Pablo Dal Lago,Argentina,100,35,40.4,77.5,65,100, , ,417.9,69.65,Gold
8,Erik Bernhardsson,Sweden,100,60,38.0,97.0,90,32, , ,417.0,69.50,Gold
9,Tiankai Liu,United States of America,100,5,64.4,70.0,100,72, , ,411.4,68.57,Gold
10,Bartosz Walczak,Poland,100,75,87.6,42.0,100,0, , ,404.6,67.43,Gold
11,Martin Orr,Ireland,65,45,44.6,85.5,100,64, , ,404.1,67.35,Gold
12,Dmitry Orlov,Russia,100,45,48.8,40.0,60,96, , ,389.8,64.97,Gold
Guest,Eric Price,United States of America 2,100,0,63.4,86.5,65,72, , ,386.9,64.48,Gold
13,Won-Sik Kim,Republic of Korea,100,50,48.8,66.0,90,24, , ,378.8,63.13,Gold
14,Milan Straka,Czech Republic,100,15,12.0,83.5,85,80, , ,375.5,62.58,Gold
15,Chi Man Liu,"Hong Kong, China",100,55,12.0,84.0,100,24, , ,375.0,62.50,Gold
16,Veli Peltola,Finland,100,5,87.6,85.5,50,44, , ,372.1,62.02,Gold
17,Lin He,China,100,30,49.4,100.0,10,68, , ,357.4,59.57,Gold
18,Bogdan Yakovenko,Ukraine,100,35,49.4,72.5,100,0, , ,356.9,59.48,Gold
19,Luka Kalinovčić,Croatia,100,70,51.3,85.5,30,20, , ,356.8,59.47,Gold
20,Kuen-Bang Hou,Taiwan,100,25,49.4,85.5,0,96, , ,355.9,59.32,Gold
21,Radu Berinde,Romania,100,30,49.4,67.5,35,72, , ,353.9,58.98,Gold
22,Jakub Závodný,Slovakia,100,20,49.4,85.5,10,88, , ,352.9,58.82,Gold
23,Carl Nettelblad,Sweden,90,100,43.4,84.0,35,0, , ,352.4,58.73,Gold
24,Filip Wolski,Poland,100,30,49.4,85.5,10,76, , ,350.9,58.48,Gold
25,Tai-Hsu Lin,Taiwan,100,25,49.4,85.5,0,84, , ,343.9,57.32,Silver
26,Zhilei Xu,China,100,65,49.4,4.0,25,100, , ,343.4,57.23,Silver
27,Gabor Pelladi,Hungary,100,25,63.2,85.5,65,4, , ,342.7,57.12,Silver
28,Ivan Anev,Bulgaria,100,75,49.4,85.5,0,32, , ,341.9,56.98,Silver
29,Paul Jefferys,United Kingdom,75,75,49.4,85.5,10,40, , ,334.9,55.82,Silver
30,Nattavut Yampikulsakul,Thailand,85,20,49.4,85.5,10,84, , ,333.9,55.65,Silver
31,Ville Mäkynen,Finland,90,20,48.8,85.5,10,76, , ,330.3,55.05,Silver
32,Chan-Il Jung,Republic of Korea,100,0,49.4,96.0,10,72, , ,327.4,54.57,Silver
33,Nawanol Theera-Ampornpunt,Thailand,100,5,49.4,85.5,10,76, , ,325.9,54.32,Silver
